Date,_AEXD,_AORDD,_ATXD,_BFXD,_FCHID,_FTSED,_GDAXD,_GSPTSED,_HSID,_IBEXD,_ISEQD,_N225D,_OMXH25D,_PSI20D,_SPXD,_SSMID
1995-10-16,288.6283631,1603.830952,1277.577823,1964.611074,2369.823343,5597.639654,3009.679025,3373.295955,1294.612921,4508.208903,2735.40812,179.0004968,1009.444868,5362.155313,583.03,2698.32886
1995-10-17,288.1476807,1586.650613,1246.651741,1970.905972,2351.088332,5598.302687,3045.087717,3375.39251,1297.749373,4499.470986,2713.9184,178.6301097,1014.598433,5418.643793,586.78,2714.609682
1995-10-18,287.3454272,1593.509208,1255.724822,1959.970804,2329.009067,5633.427407,3017.061736,3351.145875,1289.975064,4494.609868,2714.759869,177.6630597,1019.42294,5379.707476,587.44,2712.283651
1995-10-19,288.6738759,1587.77513,1269.043463,1970.419843,2327.303122,5636.478343,3030.014403,3336.183526,1290.864585,4516.304239,2713.724671,179.0169492,988.879068,5421.587157,590.65,2722.16414
1995-10-20,290.2680281,1580.439286,1251.890579,1988.318806,2319.864829,5586.597294,3038.515108,3274.312136,1279.744471,4480.17845,2714.945215,181.1201995,979.2273342,5436.464701,587.46,2735.992898
1995-10-23,289.3204509,1560.035618,1244.798097,1991.298314,2310.434526,5577.226785,2971.276718,3143.568036,1277.957744,4399.269566,2699.741653,181.7073659,957.5382535,5447.672628,585.06,2695.347807
1995-10-24,291.2601364,1554.210566,1256.959291,1999.022197,2317.401125,5580.584057,2966.304882,3183.75267,1264.230223,4410.469041,2696.458651,179.3349925,971.966217,5418.144904,586.54,2695.68662
1995-10-25,291.5337816,1566.259645,1267.514178,2002.338732,2362.087901,5584.530387,3021.040634,3174.401026,1272.622121,4468.091907,2698.659425,177.7527201,970.876796,5414.442458,582.47,2719.876237
1995-10-26,285.1990841,1574.166063,1243.488366,1989.384316,2336.299072,5572.514408,2997.064996,3149.029124,1264.077659,4391.386398,2664.652998,174.9057721,948.5305048,5354.9828,576.72,2725.663717
1995-10-27,283.1814996,1559.595428,1243.488366,1980.770274,2345.907959,5512.844602,2911.630925,3180.696992,1252.360931,4376.928115,2656.244861,170.2897554,938.2866018,5337.640318,579.7,2661.917414
1995-10-30,284.5987674,1571.28743,1251.057886,1986.582709,2411.767029,5531.914894,2978.165543,3220.411618,1250.955717,4438.297284,2687.055389,171.7767095,955.0805401,5333.654715,583.25,2689.918983
1995-10-31,287.3360786,1577.077877,1284.774187,1988.049172,2435.351121,5576.078527,3013.548841,3317.82753,1265.19867,4468.588429,2687.055389,173.0843137,947.4862568,5328.42848,581.5,2736.091549
1995-11-01,287.6150839,1562.913176,1274.074136,1977.816618,2448.111845,5556.134533,2985.808449,3302.194883,1260.877939,4466.174259,2688.505367,169.3265504,947.3933278,5333.741606,584.22,2746.707638
